Policy Parameter,Year,Value
rate1,2026,0.0
tbrk1,2026,110000.0
rate2,2026,0.13
tbrk2,2026,200000.0
rate3,2026,0.2
tbrk3,2026,370000.0
rate4,2026,0.24
tbrk4,2026,600000.0
rate5,2026,0.3
tbrk5,2026,1200000.0
rate6,2026,0.32
tbrk6,2026,1700000.0
rate7,2026,0.35
tbrk7,2026,1e+99
rate8,2026,0.35
tbrk8,2026,2e+99
rate9,2026,0.35
tbrk9,2026,3e+99
rate10,2026,0.35
tbrk10,2026,4e+99
rate11,2026,0.35
tbrk11,2026,5e+99
capitalgains_bonds_rate,2026,0.1
subsidy_rate,2026,0.1182
allowance_pensions,2026,15.0
allowance_realestate,2026,700000.0
allowance_land_sales,2026,3.0
allowance_bonus_overtime,2026,3.0
allowance_vacations_profit_sharing,2026,15.0
allowance_christmas,2026,30.0
allowance_general,2026,0.0
limit_deduction_of_inc,2026,0.1
limit_deduction_as_UMA,2026,3.0
