Policy Parameter,Year,Value
rate1,2025,0.15
tbrk1,2025,100000.0
rate2,2025,0.21
tbrk2,2025,400000.0
rate3,2025,0.26
tbrk3,2025,600000.0
rate4,2025,0.3
tbrk4,2025,1000000.0
rate5,2025,0.33
tbrk5,2025,2300000.0
rate6,2025,0.36
tbrk6,2025,1e+99
rate7,2025,0.36
tbrk7,2025,2e+99
rate8,2025,0.36
tbrk8,2025,3e+99
rate9,2025,0.36
tbrk9,2025,4e+99
rate10,2025,0.36
tbrk10,2025,5e+99
rate11,2025,0.36
tbrk11,2025,6e+99
capitalgains_bonds_rate,2025,0.1
subsidy_rate,2025,0.0
allowance_pensions,2025,4.0
allowance_realestate,2025,400000.0
allowance_land_sales,2025,1.0
allowance_bonus_overtime,2025,3.0
allowance_vacations_profit_sharing,2025,15.0
allowance_christmas,2025,30.0
allowance_general,2025,1.1
limit_deduction_of_inc,2026,0.1
limit_deduction_as_UMA,2026,3.0
