Policy Parameter,Year,Value
rate1,2026,0.09
tbrk1,2026,50000
rate2,2026,0.15
tbrk2,2026,200000
rate3,2026,0.2
tbrk3,2026,370000
rate4,2026,0.24
tbrk4,2026,600000
rate5,2026,0.3
tbrk5,2026,1200000
rate6,2026,0.32
tbrk6,2026,1700000
rate7,2026,0.35
tbrk7,2026,1.00E+99
rate8,2026,0.35
tbrk8,2026,2.00E+99
rate9,2026,0.35
tbrk9,2026,3.00E+99
rate10,2026,0.35
tbrk10,2026,4.00E+99
rate11,2026,0.35
tbrk11,2026,5.00E+99
capitalgains_bonds_rate,2026,0.1
subsidy_rate,2026,0
allowance_pensions,2026,7.5
allowance_realestate,2026,400000
allowance_land_sales,2026,3
allowance_bonus_overtime,2026,3
allowance_vacations_profit_sharing,2026,10
allowance_christmas,2026,15
allowance_wages,2026,1.3
allowance_general,2026,0
limit_deduction_of_inc,2026,0.1
limit_deduction_as_UMA,2026,3
