id_n,age,weight,tot_inc,gross_wage,wage_inc,total_gross_income,taxable_income,tax_cum_income,authorized_deduction,subsidy_w,pending_pitax,capitalgains_pitax,gambling_pitax,additional_dividend_pitax,pitax,pitax1,pitax2,pitax_diff
1,51,276,156522,117391,117391,156522,234783,234783,0,0,0,0,0,0,30134,30134,30134,0
2,39,276,352174,352174,352174,352174,352174,352174,0,0,0,0,0,0,55208,55208,55208,0
3,74,276,70435,0,0,70435,0,0,0,0,0,0,0,0,0,0,0,0
4,41,276,369783,369783,258261,369783,341782,341782,0,0,0,0,0,0,52989,52989,52989,0
5,47,276,254348,140870,140870,254348,395217,395217,0,0,0,0,0,0,64843,64843,64843,0
6,75,226,93541,0,0,70820,0,0,0,0,0,0,0,0,0,0,0,0
7,70,226,22721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,44,226,86066,86066,82623,86066,83179,83179,0,0,0,0,0,0,5245,5245,5245,0
9,33,226,147541,147541,141639,147541,144654,144654,0,0,0,0,0,0,12502,12502,12502,0
10,19,226,51148,51148,51148,51148,51148,51148,0,0,0,0,0,0,2872,2872,2872,0
11,78,226,42492,0,0,42492,0,0,0,0,0,0,0,0,0,0,0,0
12,56,226,118033,118033,106229,118033,115146,115146,0,0,0,0,0,0,8723,8723,8723,0
13,85,226,81738,0,0,59016,59016,59016,0,0,0,0,0,0,3376,3376,3376,0
14,58,226,106229,0,0,106229,0,0,0,0,0,0,0,0,0,0,0,0
15,91,148,29739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,48,148,142826,142826,135000,142826,139939,139939,0,0,0,0,0,0,11748,11748,11748,0
17,68,148,312065,229891,211304,312065,278974,278974,0,0,0,0,0,0,39573,39573,39573,0
18,64,148,84130,37174,35217,84130,65739,65739,0,0,0,0,0,0,3806,3806,3806,0
19,56,148,212870,0,0,212870,30522,30522,0,0,0,0,0,0,1552,1552,1552,0
20,30,148,206413,206413,164348,206413,196727,196727,0,0,0,0,0,0,22005,22005,22005,0
21,80,132,73565,0,0,58696,38152,38152,0,0,0,0,0,0,2041,2041,2041,0
22,93,132,45391,0,0,30522,0,0,0,0,0,0,0,0,0,0,0,0
23,53,132,26511,26511,0,26511,26511,26511,0,0,0,0,0,0,1296,1296,1296,0
24,30,132,153196,0,0,151239,0,0,0,0,0,0,0,0,0,0,0,0
25,22,132,186065,178826,37761,186065,177643,177643,0,0,733,0,0,0,18944,18944,18944,0
26,82,132,389954,329224,0,368354,356615,356615,0,0,0,0,0,0,56157,56157,56157,0
27,80,132,60730,0,0,39130,27391,27391,0,0,0,0,0,0,1352,1352,1352,0
28,54,132,344598,227207,208957,344598,234965,234965,0,0,0,0,0,0,30173,30173,30173,0
29,34,112,134754,89705,86164,134754,86818,86818,0,0,0,0,0,0,5641,5641,5641,0
30,42,112,73279,73279,70820,73279,70820,70820,0,4149,0,0,0,0,0,0,0,0
31,76,112,147541,0,0,129836,0,0,0,0,0,0,0,0,0,0,0,0
32,67,259,227607,0,0,212459,0,0,0,0,0,0,0,0,0,0,0,0
33,33,259,63738,63738,16525,63738,59803,59803,0,0,0,0,0,0,3426,3426,3426,0
34,51,259,51344,0,0,35410,23016,23016,0,0,0,0,0,0,1072,1072,1072,0
35,21,259,15934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,38,259,23607,23607,0,23607,23607,23607,0,0,0,0,0,0,1110,1110,1110,0
37,56,259,296026,0,0,296026,0,0,0,0,0,0,0,0,0,0,0,0
38,56,259,82741,82741,0,82741,82741,82741,0,0,0,0,0,0,5197,5197,5197,0
39,30,259,90000,90000,89508,90000,89508,89508,0,0,0,0,0,0,5933,5933,5933,0
40,82,259,258787,0,0,236066,0,0,0,0,0,0,0,0,0,0,0,0
41,74,259,22721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,24,259,31475,0,0,31475,0,0,0,0,0,0,0,0,0,0,0,0
43,69,140,167674,0,0,152609,0,0,0,0,0,0,0,0,0,0,0,0
44,44,140,128641,128641,127174,128641,127174,127174,0,0,0,0,0,0,10031,10031,10031,0
45,46,140,228913,228913,228913,228913,228913,228913,0,0,0,0,0,0,28880,28880,28880,0
46,43,140,4696,0,0,4696,0,0,0,0,0,0,0,0,0,0,0,0
47,62,140,82174,0,0,82174,0,0,0,0,0,0,0,0,0,0,0,0
48,42,140,138717,138717,122087,138717,135831,135831,0,0,0,0,0,0,11091,11091,11091,0
49,37,140,75717,75717,70435,75717,75717,75717,0,4149,0,0,0,0,296,296,296,0
50,35,140,21326,0,0,21326,0,0,0,0,0,0,0,0,0,0,0,0
51,67,140,99391,0,0,84522,0,0,0,0,0,0,0,0,0,0,0,0
52,29,140,100800,100800,100800,100800,100800,100800,0,0,0,0,0,0,7162,7162,7162,0
53,49,140,49696,0,0,49696,0,0,0,0,0,0,0,0,0,0,0,0
54,30,140,79728,79728,76304,79728,76842,76842,0,0,0,0,0,0,4555,4555,4555,0
55,25,140,111522,109565,101739,111522,108635,108635,0,0,0,0,0,0,8014,8014,8014,0
56,18,140,7826,5870,5870,7826,7826,7826,0,0,0,0,0,0,150,150,150,0
57,86,140,47935,0,0,32870,0,0,0,0,0,0,0,0,0,0,0,0
58,72,239,50674,0,0,28076,0,0,0,0,0,0,0,0,0,0,0,0
59,68,239,22598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,55,239,342391,283696,234783,342391,301673,301673,0,0,0,0,0,0,44421,44421,44421,0
61,55,239,891998,148520,0,305041,305041,305041,0,0,0,0,0,0,45141,45141,45141,0
62,18,239,47739,47739,46957,47739,47739,47739,0,0,0,0,0,0,2654,2654,2654,0
63,62,239,148696,148696,0,148696,145809,145809,0,0,0,0,0,0,12687,12687,12687,0
64,62,239,75326,75326,70435,75326,72439,72439,0,4149,0,0,0,0,86,86,86,0
65,72,239,93033,0,0,70435,0,0,0,0,0,0,0,0,0,0,0,0
66,42,239,100761,100761,93913,100761,93913,93913,0,0,0,0,0,0,6413,6413,6413,0
67,87,120,339554,0,0,316957,0,0,0,0,0,0,0,0,0,0,0,0
68,80,120,22598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,27,120,96848,89022,69457,96848,89022,89022,0,4149,0,0,0,0,1731,1731,1731,0
70,57,120,290739,290739,0,290739,290739,290739,0,0,0,0,0,0,42086,42086,42086,0
71,52,120,143804,143804,129130,143804,140918,140918,0,0,0,0,0,0,11905,11905,11905,0
72,18,120,15652,15652,15652,15652,15652,15652,0,0,0,0,0,0,601,601,601,0
73,47,120,238696,131087,98609,238696,108816,108816,0,0,0,0,0,0,8034,8034,8034,0
74,19,120,2348,2348,0,2348,2348,2348,0,0,0,0,0,0,45,45,45,0
75,45,153,88906,0,0,88906,0,0,0,0,0,0,0,0,0,0,0,0
76,43,153,39779,39779,39779,39779,39779,39779,0,0,0,0,0,0,2145,2145,2145,0
77,20,153,30829,9945,9945,9945,9945,9945,0,0,0,0,0,0,235,235,235,0
78,64,153,76093,76093,0,76093,76093,76093,0,0,0,0,0,0,4474,4474,4474,0
79,56,153,37591,37591,37591,37591,37591,37591,0,0,0,0,0,0,2005,2005,2005,0
80,42,153,46641,46641,19492,46641,46641,46641,0,0,0,0,0,0,2584,2584,2584,0
81,33,153,37591,37591,37591,37591,37591,37591,0,0,0,0,0,0,2005,2005,2005,0
82,58,153,26851,26851,26851,26851,26851,26851,0,0,0,0,0,0,1317,1317,1317,0
83,39,153,117348,117348,107403,117348,114461,114461,0,0,0,0,0,0,8648,8648,8648,0
84,80,153,190939,0,0,190939,0,0,0,0,0,0,0,0,0,0,0,0
85,74,153,18139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,57,141,31911,0,0,31911,0,0,0,0,0,0,0,0,0,0,0,0
87,74,141,102913,0,0,70435,0,0,0,0,0,0,0,0,0,0,0,0
88,48,141,31997,31997,0,31997,31997,31997,0,0,0,0,0,0,1647,1647,1647,0
89,29,171,141639,141639,141639,141639,141639,141639,0,0,0,0,0,0,12020,12020,12020,0
90,24,171,70082,70082,67279,70082,67279,67279,0,4149,0,0,0,0,0,0,0,0
91,63,171,69887,0,0,69887,0,0,0,0,0,0,0,0,0,0,0,0
92,62,171,23607,0,0,23607,0,0,0,0,0,0,0,0,0,0,0,0
93,62,171,103869,0,0,103869,0,0,0,0,0,0,0,0,0,0,0,0
94,82,171,56951,0,0,34229,0,0,0,0,0,0,0,0,0,0,0,0
95,50,171,95410,95410,47213,95410,94426,94426,0,0,0,0,0,0,6468,6468,6468,0
96,49,171,134262,134262,106229,134262,131376,131376,0,0,0,0,0,0,10488,10488,10488,0
97,30,171,64328,64328,61377,64328,61441,61441,0,0,0,0,0,0,3531,3531,3531,0
98,25,171,118574,118574,55082,118574,118574,118574,0,0,0,0,0,0,9096,9096,9096,0
99,62,188,70820,0,0,70820,0,0,0,0,0,0,0,0,0,0,0,0
100,42,188,88525,88525,88525,88525,88525,88525,0,0,0,0,0,0,5826,5826,5826,0
101,70,188,112426,0,0,89705,0,0,0,0,0,0,0,0,0,0,0,0
102,60,188,59016,0,0,59016,0,0,0,0,0,0,0,0,0,0,0,0
103,34,188,240000,141639,141639,240000,141639,141639,0,0,0,0,0,0,12020,12020,12020,0
104,80,188,63639,0,0,42492,0,0,0,0,0,0,0,0,0,0,0,0
105,77,188,46328,0,0,23607,0,0,0,0,0,0,0,0,0,0,0,0
106,28,188,89705,89705,89705,89705,89705,89705,0,0,0,0,0,0,5955,5955,5955,0
107,53,188,105639,46623,45148,105639,104164,104164,0,0,0,0,0,0,7528,7528,7528,0
108,27,188,70820,70820,70820,70820,70820,70820,0,4149,0,0,0,0,0,0,0,0
109,84,188,81443,0,0,59016,0,0,0,0,0,0,0,0,0,0,0,0
110,82,188,22426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,50,188,678688,344262,0,678688,678688,678688,0,0,0,0,0,0,137210,137210,137210,0
112,44,188,19672,19672,19672,19672,19672,19672,0,0,0,0,0,0,858,858,858,0
113,65,171,220109,220109,211304,220109,217222,217222,0,0,0,0,0,0,26383,26383,26383,0
114,77,171,68087,0,0,44609,0,0,0,0,0,0,0,0,0,0,0,0
115,58,171,817239,38152,0,817239,38152,38152,0,0,0,0,0,0,2041,2041,2041,0
116,32,171,80902,80902,56348,80902,79826,79826,0,0,0,0,0,0,4880,4880,4880,0
117,77,171,58989,0,0,36391,0,0,0,0,0,0,0,0,0,0,0,0
118,74,171,35217,0,0,35217,0,0,0,0,0,0,0,0,0,0,0,0
119,54,171,105261,0,0,105261,0,0,0,0,0,0,0,0,0,0,0,0
120,52,171,18000,18000,18000,18000,18000,18000,0,0,0,0,0,0,751,751,751,0
121,20,171,15652,15652,0,15652,15652,15652,0,0,0,0,0,0,601,601,601,0
122,32,145,169239,169239,18587,169239,169239,169239,0,0,0,0,0,0,16705,16705,16705,0
123,56,145,15261,0,0,15261,0,0,0,0,0,0,0,0,0,0,0,0
124,57,145,58696,0,0,58696,0,0,0,0,0,0,0,0,0,0,0,0
125,29,145,107609,107609,93913,107609,96235,96235,0,0,0,0,0,0,6665,6665,6665,0
126,25,145,456848,406957,0,456848,406957,406957,0,0,0,0,0,0,67604,67604,67604,0
