,weight,total_gross_income,pitax,table_row
135235,1262.5310495347203,-1.4551915228366852e-11,0.0,1
101994,626.6577472143139,-7.275957614183426e-12,0.0,1
89360,239.6044327584141,-7.275957614183426e-12,0.0,1
68171,890.2226232485693,-7.275957614183426e-12,0.0,1
173835,1004.4955065641208,-3.637978807091713e-12,0.0,1
162243,230.38887765232127,-3.637978807091713e-12,0.0,1
70724,904.967511418318,-3.637978807091713e-12,0.0,1
83724,152.97821476114134,-3.637978807091713e-12,0.0,1
55789,2038.4807894677383,-3.637978807091713e-12,0.0,1
93885,329.916872798124,-3.637978807091713e-12,0.0,1
70338,680.1079668296524,-3.637978807091713e-12,0.0,1
147318,364.9359822012769,-3.637978807091713e-12,0.0,1
69278,766.7341848269251,-3.637978807091713e-12,0.0,1
26733,1883.6594636853783,-3.637978807091713e-12,0.0,1
38643,925.241732651722,-1.8189894035458565e-12,0.0,1
140056,495.7968647077954,-1.8189894035458565e-12,0.0,1
154580,278.3097642040041,-1.8189894035458565e-12,0.0,1
59579,241.44754377963267,-1.8189894035458565e-12,0.0,1
158032,495.7968647077954,0.0,0.0,1
64214,1238.5706062588793,0.0,0.0,1
38910,956.574620012438,0.0,0.0,1
38912,956.574620012438,0.0,0.0,1
15987,768.5772958481438,0.0,0.0,1
157077,479.2088655168282,0.0,0.0,1
57040,1334.4123793622448,0.0,0.0,1
38923,663.5199676386851,0.0,0.0,1
64219,750.1461856359581,0.0,0.0,1
38929,663.5199676386851,0.0,0.0,1
64222,750.1461856359581,0.0,0.0,1
157146,676.4217447872152,0.0,0.0,1
38931,663.5199676386851,0.0,0.0,1
38922,956.574620012438,0.0,0.0,1
57046,1334.4123793622448,0.0,0.0,1
76210,1286.491492810562,0.0,0.0,1
123644,488.42442062292105,0.0,0.0,1
76221,1286.491492810562,0.0,0.0,1
90630,844.1448477181052,0.0,0.0,1
38890,956.574620012438,0.0,0.0,1
16024,669.049300702341,0.0,0.0,1
157005,525.2866410472925,0.0,0.0,1
157009,457.09153326220536,0.0,0.0,1
57052,1247.786161364972,0.0,0.0,1
38895,956.574620012438,0.0,0.0,1
123688,267.2510980766927,0.0,0.0,1
90644,936.3003987790336,0.0,0.0,1
157021,575.0506386201939,0.0,0.0,1
157025,477.3657544956097,0.0,0.0,1
123683,267.2510980766927,0.0,0.0,1
157047,689.3235219357452,0.0,0.0,1
123680,278.3097642040041,0.0,0.0,1
57047,1334.4123793622448,0.0,0.0,1
15963,584.2661937262868,0.0,0.0,1
38936,663.5199676386851,0.0,0.0,1
76205,1286.491492810562,0.0,0.0,1
157231,434.9742010075825,0.0,0.0,1
90677,608.2266370021281,0.0,0.0,1
15915,949.2021759275636,0.0,0.0,1
15914,949.2021759275636,0.0,0.0,1
90685,842.3017366968866,0.0,0.0,1
76185,1286.491492810562,0.0,0.0,1
64236,750.1461856359581,0.0,0.0,1
90690,938.1435098002522,0.0,0.0,1
157269,471.836421431954,0.0,0.0,1
64251,750.1461856359581,0.0,0.0,1
90708,698.539077041838,0.0,0.0,1
38988,611.9128590445654,0.0,0.0,1
15904,503.16930879266965,0.0,0.0,1
123528,331.7599838193425,0.0,0.0,1
157265,471.836421431954,0.0,0.0,1
157223,444.1897561136754,0.0,0.0,1
157217,444.1897561136754,0.0,0.0,1
157211,554.7764173867897,0.0,0.0,1
38944,663.5199676386851,0.0,0.0,1
123633,324.3875397344683,0.0,0.0,1
157182,468.1501993895168,0.0,0.0,1
123179,272.7804311403484,0.0,0.0,1
15641,637.7164133416253,0.0,0.0,1
123625,324.3875397344683,0.0,0.0,1
123622,324.3875397344683,0.0,0.0,1
123606,278.3097642040041,0.0,0.0,1
38950,663.5199676386851,0.0,0.0,1
64232,750.1461856359581,0.0,0.0,1
64233,750.1461856359581,0.0,0.0,1
157202,630.343969256751,0.0,0.0,1
123183,272.7804311403484,0.0,0.0,1
15940,901.2812893758808,0.0,0.0,1
123579,278.3097642040041,0.0,0.0,1
123178,272.7804311403484,0.0,0.0,1
38882,956.574620012438,0.0,0.0,1
90626,641.4026353840624,0.0,0.0,1
16033,713.2839652115866,0.0,0.0,1
123788,311.48576258593835,0.0,0.0,1
156832,471.836421431954,0.0,0.0,1
123778,221.17332254622843,0.0,0.0,1
90571,724.3426313388981,0.0,0.0,1
16110,753.8324076783953,0.0,0.0,1
64176,1098.4941686462678,0.0,0.0,1
123158,256.1924319493813,0.0,0.0,1
38814,908.6537334607552,0.0,0.0,1
64177,1098.4941686462678,0.0,0.0,1
38816,908.6537334607552,0.0,0.0,1
123762,245.13376582206985,0.0,0.0,1
123761,245.13376582206985,0.0,0.0,1
16102,576.8937496414125,0.0,0.0,1
64178,1098.4941686462678,0.0,0.0,1
38823,908.6537334607552,0.0,0.0,1
123795,311.48576258593835,0.0,0.0,1
123741,276.4666531827855,0.0,0.0,1
16119,733.5581864449908,0.0,0.0,1
64172,1098.4941686462678,0.0,0.0,1
156737,429.4448679439268,0.0,0.0,1
123798,311.48576258593835,0.0,0.0,1
156743,635.8733023204068,0.0,0.0,1
123797,311.48576258593835,0.0,0.0,1
