,index,pitax_2022,pitax_2023,pitax_2024,pitax_2025,pitax_2026,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030
0, 0-10n,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0
2, 0-10p,3,3,3,3,3,0,0,0,0,0
3, 10-20,134,134,134,134,134,0,0,0,0,0
4, 20-30,682,682,682,682,682,0,0,0,0,0
5, 30-40,"1,530","1,530","1,530","1,530","1,530",0,0,0,0,0
6, 40-50,"1,903","1,903","1,903","1,903","1,903",0,0,0,0,0
7, 50-60,"2,503","2,503","2,503","2,503","2,503",5,5,5,5,5
8, 60-70,"5,041","5,041","5,041","5,041","5,041",16,16,16,16,16
9, 70-80,"7,245","7,245","7,245","7,245","7,245",994,994,994,994,994
10, 80-90,"12,479","12,479","12,479","12,479","12,479","5,288","5,288","5,288","5,288","5,288"
11, 90-100,"54,201","54,201","54,201","54,201","54,201","44,762","44,762","44,762","44,762","44,762"
12, ALL,"8,572","8,572","8,572","8,572","8,572","5,107","5,107","5,107","5,107","5,107"
13, 90-95,"22,637","22,637","22,637","22,637","22,637","13,858","13,858","13,858","13,858","13,858"
14, 95-99,"46,280","46,279","46,280","46,280","46,280","36,511","36,511","36,511","36,511","36,511"
15, Top 1%,"243,433","243,433","243,433","243,433","243,433","232,012","232,012","232,012","232,012","232,012"
