,index,pitax_2022,pitax_2023,pitax_2024,pitax_2025,pitax_2026,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030,,,
0, 0-10n,0,0,0,0,0,0,0,0,0,0,,,
1, 0-10z,0,0,0,0,0,0,0,0,0,0,,,
2, 0-10p,3,3,3,3,3,11,11,11,11,11,,267%,64%
3, 10-20,133,133,133,133,133,397,397,397,397,397,,198%,
4, 20-30,679,679,679,679,679,"1,210","1,210","1,210","1,210","1,210",,78%,
5, 30-40,"1,528","1,528","1,528","1,528","1,528","2,390","2,390","2,390","2,390","2,390",,56%,
6, 40-50,"1,855","1,855","1,855","1,855","1,855","3,159","3,159","3,159","3,159","3,159",,70%,
7, 50-60,"2,491","2,491","2,491","2,491","2,491","4,108","4,108","4,108","4,108","4,108",,65%,
8, 60-70,"5,038","5,038","5,038","5,038","5,038","7,208","7,208","7,208","7,208","7,208",,43%,
9, 70-80,"7,242","7,242","7,242","7,242","7,242","10,356","10,356","10,356","10,356","10,356",,43%,
10, 80-90,"12,478","12,478","12,478","12,478","12,478","16,020","16,020","16,020","16,020","16,020",,28%,
11, 90-100,"54,200","54,199","54,200","54,200","54,200","57,536","57,536","57,536","57,536","57,536",,6%,
12, ALL,"8,565","8,565","8,565","8,565","8,565","10,240","10,240","10,240","10,240","10,240",,20%,
13, 90-95,"22,635","22,635","22,636","22,635","22,635","25,250","25,250","25,250","25,250","25,250",,12%,
14, 95-99,"46,278","46,277","46,279","46,278","46,278","49,320","49,320","49,320","49,320","49,320",,7%,
15, Top 1%,"243,433","243,433","243,433","243,433","243,433","251,549","251,549","251,549","251,549","251,549",,3%,
