,index,pitax_2022,pitax_2023,pitax_2024,pitax_2025,pitax_2026,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030
0, 0-10n,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0
2, 0-10p,3,3,3,3,3,7,7,7,7,7
3, 10-20,133,133,133,133,133,233,233,233,233,233
4, 20-30,679,679,679,679,679,712,712,712,712,712
5, 30-40,"1,528","1,528","1,528","1,528","1,528","1,405","1,405","1,405","1,405","1,405"
6, 40-50,"1,855","1,855","1,855","1,855","1,855","1,522","1,522","1,522","1,522","1,522"
7, 50-60,"2,491","2,491","2,491","2,491","2,491","1,870","1,870","1,870","1,870","1,870"
8, 60-70,"5,038","5,038","5,038","5,038","5,038","3,653","3,653","3,653","3,653","3,653"
9, 70-80,"7,242","7,242","7,242","7,242","7,242","5,338","5,338","5,338","5,338","5,338"
10, 80-90,"12,478","12,478","12,478","12,478","12,478","9,820","9,820","9,820","9,820","9,820"
11, 90-100,"54,200","54,199","54,200","54,200","54,200","49,210","49,210","49,210","49,210","49,210"
12, ALL,"8,565","8,565","8,565","8,565","8,565","7,377","7,377","7,377","7,377","7,377"
13, 90-95,"22,635","22,635","22,636","22,635","22,635","18,202","18,202","18,202","18,202","18,202"
14, 95-99,"46,278","46,277","46,279","46,278","46,278","40,871","40,871","40,871","40,871","40,871"
15, Top 1%,"243,433","243,433","243,433","243,433","243,433","237,337","237,337","237,337","237,337","237,337"
