,index,pitax_2022,pitax_2023,pitax_2024,pitax_2025,pitax_2026,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030
0, 0-10n,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0
2, 0-10p,3,3,3,3,3,7,7,7,7,7
3, 10-20,134,134,134,134,134,235,235,235,235,235
4, 20-30,682,682,682,682,682,714,714,714,714,714
5, 30-40,"1,530","1,530","1,530","1,530","1,530","1,422","1,422","1,422","1,422","1,422"
6, 40-50,"1,903","1,903","1,903","1,903","1,903","2,028","2,028","2,028","2,028","2,028"
7, 50-60,"2,503","2,503","2,503","2,503","2,503","3,118","3,118","3,118","3,118","3,118"
8, 60-70,"5,041","5,041","5,041","5,041","5,041","5,770","5,770","5,770","5,770","5,770"
9, 70-80,"7,245","7,245","7,245","7,245","7,245","7,995","7,995","7,995","7,995","7,995"
10, 80-90,"12,479","12,479","12,479","12,479","12,479","11,948","11,948","11,948","11,948","11,948"
11, 90-100,"54,201","54,201","54,201","54,201","54,201","51,888","51,888","51,888","51,888","51,888"
12, ALL,"8,572","8,572","8,572","8,572","8,572","8,513","8,513","8,513","8,513","8,513"
13, 90-95,"22,637","22,637","22,637","22,637","22,637","19,710","19,710","19,710","19,710","19,710"
14, 95-99,"46,280","46,279","46,280","46,280","46,280","43,781","43,781","43,781","43,781","43,781"
15, Top 1%,"243,433","243,433","243,433","243,433","243,433","244,926","244,926","244,926","244,926","244,926"
