,index,pitax_2022,pitax_2023,pitax_2024,pitax_2025,pitax_2026,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030
0, 0-10n,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0
2, 0-10p,3,3,3,3,3,0,0,0,0,0
3, 10-20,134,134,134,134,134,0,0,0,0,0
4, 20-30,682,682,682,682,682,1,1,1,1,1
5, 30-40,"1,530","1,530","1,530","1,530","1,530",28,28,28,28,28
6, 40-50,"1,903","1,903","1,903","1,903","1,903",540,540,540,540,540
7, 50-60,"2,503","2,503","2,503","2,503","2,503","1,553","1,553","1,553","1,553","1,553"
8, 60-70,"5,041","5,041","5,041","5,041","5,041","3,712","3,712","3,712","3,712","3,712"
9, 70-80,"7,245","7,245","7,245","7,245","7,245","5,900","5,900","5,900","5,900","5,900"
10, 80-90,"12,479","12,479","12,479","12,479","12,479","9,840","9,840","9,840","9,840","9,840"
11, 90-100,"54,201","54,201","54,201","54,201","54,201","49,720","49,720","49,720","49,720","49,720"
12, ALL,"8,572","8,572","8,572","8,572","8,572","7,129","7,129","7,129","7,129","7,129"
13, 90-95,"22,637","22,637","22,637","22,637","22,637","17,685","17,685","17,685","17,685","17,685"
14, 95-99,"46,280","46,279","46,280","46,280","46,280","41,496","41,496","41,496","41,496","41,496"
15, Top 1%,"243,433","243,433","243,433","243,433","243,433","242,511","242,511","242,511","242,511","242,511"
