,index,pitax_2022,pitax_2023,pitax_2024,pitax_2025,pitax_2026,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030
0, 0-10n,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0
2, 0-10p,3,3,3,3,3,4,4,4,4,4
3, 10-20,134,134,134,134,134,106,106,106,106,106
4, 20-30,682,682,682,682,682,184,184,184,184,184
5, 30-40,"1,530","1,530","1,530","1,530","1,530",286,286,286,286,286
6, 40-50,"1,903","1,903","1,903","1,903","1,903","1,204","1,204","1,204","1,204","1,204"
7, 50-60,"2,503","2,503","2,503","2,503","2,503","2,351","2,351","2,351","2,351","2,351"
8, 60-70,"5,041","5,041","5,041","5,041","5,041","3,832","3,832","3,832","3,832","3,832"
9, 70-80,"7,245","7,245","7,245","7,245","7,245","6,594","6,594","6,594","6,594","6,594"
10, 80-90,"12,479","12,479","12,479","12,479","12,479","11,855","11,855","11,855","11,855","11,855"
11, 90-100,"54,201","54,201","54,201","54,201","54,201","51,567","51,567","51,567","51,567","51,567"
12, ALL,"8,572","8,572","8,572","8,572","8,572","7,798","7,798","7,798","7,798","7,798"
13, 90-95,"22,637","22,637","22,637","22,637","22,637","19,801","19,801","19,801","19,801","19,801"
14, 95-99,"46,280","46,279","46,280","46,280","46,280","43,577","43,577","43,577","43,577","43,577"
15, Top 1%,"243,433","243,433","243,433","243,433","243,433","242,088","242,088","242,088","242,088","242,088"
