,index,pitax_2022,pitax_2023,pitax_2024,pitax_2025,pitax_2026,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030
0, 0-10n,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0
2, 0-10p,3,3,3,3,3,4,4,4,4,4
3, 10-20,134,134,134,134,134,118,118,118,118,118
4, 20-30,682,682,682,682,682,204,204,204,204,204
5, 30-40,"1,530","1,530","1,530","1,530","1,530",317,317,317,317,317
6, 40-50,"1,903","1,903","1,903","1,903","1,903","1,334","1,334","1,334","1,334","1,334"
7, 50-60,"2,503","2,503","2,503","2,503","2,503","2,606","2,606","2,606","2,606","2,606"
8, 60-70,"5,041","5,041","5,041","5,041","5,041","4,215","4,215","4,215","4,215","4,215"
9, 70-80,"7,245","7,245","7,245","7,245","7,245","7,005","7,005","7,005","7,005","7,005"
10, 80-90,"12,479","12,479","12,479","12,479","12,479","12,272","12,272","12,272","12,272","12,272"
11, 90-100,"54,201","54,201","54,201","54,201","54,201","51,999","51,999","51,999","51,999","51,999"
12, ALL,"8,572","8,572","8,572","8,572","8,572","8,008","8,008","8,008","8,008","8,008"
13, 90-95,"22,637","22,637","22,637","22,637","22,637","20,203","20,203","20,203","20,203","20,203"
14, 95-99,"46,280","46,279","46,280","46,280","46,280","44,032","44,032","44,032","44,032","44,032"
15, Top 1%,"243,433","243,433","243,433","243,433","243,433","242,571","242,571","242,571","242,571","242,571"
