,index,pitax_2022,pitax_2023,pitax_2024,pitax_2025,pitax_2026,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030
0,<0,0,0,0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0,0,0,0
2,0-0.5 m,"750,416","833,711","888,493","823,957","823,957","793,787","793,787","793,787","793,787","793,787"
3,0.5-1m,"166,960","185,489","197,682","183,322","183,322","202,510","202,510","202,510","202,510","202,510"
4,1-1.5m,"55,452","61,607","65,655","60,886","60,886","65,047","65,047","65,047","65,047","65,047"
5,1.5-2m,"39,461","43,841","46,722","43,328","43,328","45,182","45,182","45,182","45,182","45,182"
6,2-3m,"42,206","46,891","49,972","46,343","46,343","47,742","47,742","47,742","47,742","47,742"
7,3-4m,"17,799","19,775","21,074","19,544","19,544","20,029","20,029","20,029","20,029","20,029"
8,4-5m,"10,188","11,319","12,062","11,186","11,186","11,400","11,400","11,400","11,400","11,400"
9,5-10m,"18,218","20,240","21,570","20,003","20,003","20,274","20,274","20,274","20,274","20,274"
10,>10m,"29,286","32,537","34,674","32,156","32,156","32,654","32,654","32,654","32,654","32,654"
11,ALL,"1,129,986","1,255,410","1,337,906","1,240,725","1,240,725","1,238,624","1,238,624","1,238,624","1,238,624","1,238,624"
