,index,pitax_2022,pitax_2023,pitax_2024,pitax_2025,pitax_2026,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030
0, 0-10n,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0
2, 0-10p,3,3,3,3,3,0,0,0,0,0
3, 10-20,134,134,134,134,134,2,2,2,2,2
4, 20-30,682,682,682,682,682,3,3,3,3,3
5, 30-40,"1,530","1,530","1,530","1,530","1,530",275,275,275,275,275
6, 40-50,"1,903","1,903","1,903","1,903","1,903","1,467","1,467","1,467","1,467","1,467"
7, 50-60,"2,503","2,503","2,503","2,503","2,503","2,699","2,699","2,699","2,699","2,699"
8, 60-70,"5,041","5,041","5,041","5,041","5,041","4,163","4,163","4,163","4,163","4,163"
9, 70-80,"7,245","7,245","7,245","7,245","7,245","6,331","6,331","6,331","6,331","6,331"
10, 80-90,"12,479","12,479","12,479","12,479","12,479","12,518","12,518","12,518","12,518","12,518"
11, 90-100,"54,201","54,201","54,201","54,201","54,201","58,119","58,119","58,119","58,119","58,119"
12, ALL,"8,572","8,572","8,572","8,572","8,572","8,558","8,558","8,558","8,558","8,558"
13, 90-95,"22,637","22,637","22,637","22,637","22,637","23,282","23,282","23,282","23,282","23,282"
14, 95-99,"46,280","46,279","46,280","46,280","46,280","51,715","51,715","51,715","51,715","51,715"
15, Top 1%,"243,433","243,433","243,433","243,433","243,433","257,634","257,634","257,634","257,634","257,634"
