id_n,tot_inc,taxable_income,pitax,pitax1,pitax2,pitax_diff
1,156522,234783,30134,30134,22465,-7668
2,352174,352174,55208,55208,41248,-13961
3,70435,0,-0,-0,-0,-0
4,369783,341782,52989,52989,39585,-13404
5,254348,395217,64843,64843,48135,-16708
6,93541,0,-0,-0,-0,-0
7,22721,0,-0,-0,-0,-0
8,86066,83179,5245,5245,4991,-254
9,147541,144654,12502,12502,8679,-3823
10,51148,51148,2872,2872,3069,196
11,42492,0,-0,-0,-0,-0
12,118033,115146,8723,8723,6909,-1814
13,81738,59016,3376,3376,3541,165
14,106229,0,-0,-0,-0,-0
15,29739,0,-0,-0,-0,-0
16,142826,139939,11748,11748,8396,-3352
17,312065,278974,39573,39573,29536,-10037
18,84130,65739,3806,3806,3944,138
19,212870,30522,1552,1552,1831,279
20,206413,196727,22005,22005,16376,-5629
21,73565,38152,2041,2041,2289,248
22,45391,0,-0,-0,-0,-0
23,26511,26511,1296,1296,1591,295
24,153196,0,-0,-0,-0,-0
25,186065,177643,18944,18944,13978,-4967
26,389954,356615,56157,56157,41958,-14199
27,60730,27391,1352,1352,1643,292
28,344598,234965,30173,30173,22494,-7678
29,134754,86818,5641,5641,5209,-432
30,73279,70820,4131,4131,4249,118
31,147541,0,-0,-0,-0,-0
32,227607,0,-0,-0,-0,-0
33,63738,59803,3426,3426,3588,162
34,51344,23016,1072,1072,1381,309
35,15934,0,-0,-0,-0,-0
36,23607,23607,1110,1110,1416,307
37,296026,0,-0,-0,-0,-0
38,82741,82741,5197,5197,4964,-233
39,90000,89508,5933,5933,5370,-563
40,258787,0,-0,-0,-0,-0
41,22721,0,-0,-0,-0,-0
42,31475,0,-0,-0,-0,-0
43,167674,0,-0,-0,-0,-0
44,128641,127174,10031,10031,7630,-2401
45,228913,228913,28880,28880,21526,-7354
46,4696,0,-0,-0,-0,-0
47,82174,0,-0,-0,-0,-0
48,138717,135831,11091,11091,8150,-2941
49,75717,75717,4445,4445,4543,98
50,21326,0,-0,-0,-0,-0
51,99391,0,-0,-0,-0,-0
52,100800,100800,7162,7162,6048,-1114
53,49696,0,-0,-0,-0,-0
54,79728,76842,4555,4555,4610,55
55,111522,108635,8014,8014,6518,-1496
56,7826,7826,150,150,470,319
57,47935,0,-0,-0,-0,-0
58,50674,0,-0,-0,-0,-0
59,22598,0,-0,-0,-0,-0
