WT2018,WT2019,WT2020,WT2021,WT2022,WT2023,WT2024,WT2025,WT2026,WT2027,WT2028
276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096
276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096
276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096
276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096
276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096,276.096
225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766
225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766
225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766
225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766
225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766
225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766
225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766
225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766
225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766,225.766
148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114
148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114
148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114
148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114
148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114
148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114,148.114
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
112.164,112.164,112.164,112.164,112.164,112.164,112.164,112.164,112.164,112.164,112.164
112.164,112.164,112.164,112.164,112.164,112.164,112.164,112.164,112.164,112.164,112.164
112.164,112.164,112.164,112.164,112.164,112.164,112.164,112.164,112.164,112.164,112.164
258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84
258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84
258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84
258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84
258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84
258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84
258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84
258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84
258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84
258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84
258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84,258.84
140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205
140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205
140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205
140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205
140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205
140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205
140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205
140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205
140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205
140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205
140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205
140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205
140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205
140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205
140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205,140.205
238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708
238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708
238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708
238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708
238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708
238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708
238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708
238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708
238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708,238.708
120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073
120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073
120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073
120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073
120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073
120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073
120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073
120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073,120.073
153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147
153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147
153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147
153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147
153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147
153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147
153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147
153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147
153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147
153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147
153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147,153.147
140.924,140.924,140.924,140.924,140.924,140.924,140.924,140.924,140.924,140.924,140.924
140.924,140.924,140.924,140.924,140.924,140.924,140.924,140.924,140.924,140.924,140.924
140.924,140.924,140.924,140.924,140.924,140.924,140.924,140.924,140.924,140.924,140.924
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378
188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378
188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378
188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378
188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378
188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378
188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378
188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378
188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378
188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378
188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378
188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378
188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378
188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378,188.378
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122,171.122
145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238
145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238
145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238
145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238
145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238
145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238
145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238
145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238,145.238
161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775
161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775
161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775
161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775
161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775
161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775
161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775
161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775
161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775
161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775
161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775
161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775,161.775
152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428
152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428
152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428
152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428
152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428
152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428
152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428,152.428
179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75
179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75
179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75
179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75
179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75
179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75
179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75
179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75
179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75
179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75,179.75
173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279
173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279
173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279
173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279,173.279
255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964
255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964
255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964
255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964
255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964
255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964
255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964
255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964,255.964
178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312
178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312
178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312
178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312
178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312
178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312
178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312
178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312
178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312,178.312
181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188
181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188
181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188
181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188
181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188
181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188
181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188
181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188
181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188
181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188
181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188,181.188
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296,132.296
211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386
211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386
211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386
211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386
211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386
211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386,211.386
163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932
163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932
163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932
163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932
163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932
163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932
163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932
163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932
163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932,163.932
